MAGAR,NEPALI
आनुँहै डेम ।,जाओस् भनेर।
बेन भीसा ।,दिसा आयो ।
र्होस भीसा ।,पिशाब लाग्यो ।
होसै बखटाङ,त्यो बेलामा
काबोक लामाङ,आधा बाटोमा
मीनाम आरुवा लोच।,नयाँ बन्चरो किनेको।
मोइके आर्मीट्ले माआर्मीट्ले ?,आमालाई सम्झनुहुन्छ ?
म्हे ढाच डाँम आर्याङ्म खेरा।,आगो लागेको देखेर आत्तिएर दौड्यो।
चेक आलाक नुहुँनी !,अलि उता सर्नुस् !
चेक आलाक,अलि उता
इसे ही आले ?,यो के हो ?
पोखरीङ ल्हेस्नीङ व्होरा (हुँडा) नामास राहामनले।,पोखरा बाट फर्किएको देखि पानी परीराहेको छ।
सेनीङ व्होरा,कहिले देखि
छीनीङ-पीहीन इटा माजाट्ले।,आजा-भोलि यसरी गर्दैन।
इडीक काम ङै खाम्के माय्होक्ले।,यति काम गर्न म सक्दिन।
इन्च न ले।,एस्तै छ।
इलाङ ही छान्ह्मने ?,यहाँ के हुँदैछ ?
ङा मार्ह्नाङ टुक रन्छीटाक्च उसाहा ज्याओला।,सानो हँदा मैले भोक पार्ने औषधि खान्थेँ।
काने इसे काम जाट्के य्होक्ले।,यो काम हामीले गर्न सक्छौँ।
काटे फेरी काटके,एक अर्कोलाई
आनुँहै डेम,जाओस् भनेर
छो माजेमन हुट हुरो !,खाना खानु भन्दा अघि हात धोऊ !
र्हौ खोर,बाख्रो खोर
वाको खोर,सुँगुर खोर
गौ खोर,कुखुराको खोर
गौ म्युम,चराको गुँड
वाको मीजा,पाठो (बुँगुरको)
ल्याहा आओला,भएको भए
कानै डैके छो ठोहोके बीन्ह्ले।,हामीले दिदीलाई भात पकाउन पठाउँछौं।
कुडीक कामुन लैडीह्ले ?,कति बेर लाग्छ ?
इसे बुटाङ काल्ह्के माय्होक-माय्होक सेया।,यो बोटमा चढ्न सक्दैन कि जस्तो लाग्यो।
कुडीक सेहेच लेसा !,कति राम्रो रहेछ !
नाको कुलाक नुहुँके आले ?,तपाईं कहाँ जानुहुने ?
नाको कुलाङ ङुले ?,तपाईं कहाँ बस्नुहुन्छ ?
कुलाङर माडीनाहा,कहीँ पनि भेटाइन
ङाके सार्ह्म सेमने।,मलाई खुशी लाग्यो।
कोम्पोर राहा,ढुसी लाग्यो
खाटा माखाटा ?,मिल्यो ?
इलाङ खाटारा-खुटुरुक डामने।,यहाँ स-सानो चीज-बीजहरू राखिन्छ।
कुडीक खान्ह्प्याकर ङा च नुहुँले।,जति गर्मी भएपनि म चाहिँ जान्छु।
सन्टोला खुस्म जेच।,सुन्तला चोरेर खाएको।
न्हुन-न्हुन खेर्के,पछि-पछि दुगुर्नु
खेहेम ढुसा,जिस्काएर घचेट्यो
मीकारा ख्योहोके,लाज लाग्नु
