input,translation
मेरो नाम रोशन हो।,ङौ म्यार्मिन रोशन आले।
म काठमाडौंमा बस्छु।,ङा काठमाडौंआङ ङुले।
आज मौसम धेरै राम्रो छ।,छीनीङ मौसम ढेरै सेच ले।
म स्कुल जान्छु।,ङा स्कुल नुङ्लाङ्।
मलाई फुटबल खेल्न मन पर्छ।,ङाके फुट्बल गेस्के मीमन पर्ले।
मेरो साथीको नाम सिता हो।,ङौ लाफाओ म्यारमीन सीता आले।
हामी भोलि पिकनिक जान्छौं।,कान भोलिक पीरक नुङ्ले।
म कफी पिउन चाहन्छु।,ङा कफी गाके चाहँ।
साँझको बेला म पुस्तक पढ्छु।,नामारलाको बेला ङा पुस्तक पढीसा।
मेरो घरमा एउटा बिरालो छ।,ङौ इमाङ काट वीहा ले।
म नेपाली भाषा सिक्दैछु।,ङा नेपाली भाषा सीमनले।
सूर्य आज चम्किलो छ।,सूर्य छीनीङ चम्के ले।
म सङ्गीत सुन्न रुचाउँछु।,ङा सङ्गीट सेके जाहालाङ।
हाम्रो विद्यालय ठूलो छ।,कानुङ विद्यालय करङ्च ले।
म दिदीसँग कुरा गर्दैछु।,ङा डैकठा कुरा जाट्लाङ।
आज म बजार जानेछु।,छीनीङ ङा बजार नुहुँके पा।
मलाई चकलेट मन पर्छ।,ङाके चकाटे सेके मीमन पर्ले।
म पुस्तकालयमा गइ पुस्तक पढ्छु।,ङा पुस्तकओपाङ नुहुँआ।
मेरो साथीहरु साँझमा खेल्छन्।,ङौ लाफाको साँझाङ गेस्ले।
म खाना पकाउन सिक्दैछु।,ङा छो ठोहोके पामनले।

