input,translation
"मैले त्यसो भन्ने बेलामा मञ्जुल दाज्युले साथी राजनतिर फर्केर भन्नुभयो , ‘तिमीले किन आफूलाई एक्ले महशुस गरेको ? तिमी एक्लै छैनौं । तिमीलाई माया गर्न राजन भाइ छ । तिम्रो भाउज्यु सस्मिता छे । तिम्रो दिदी सुष्मा छे । म नै छु । म जस्तै अरु पनि छन् तिमीलाई माया गर्ने आफन्तहरु । तिमीलाई सहानुभूति दिने आफन्तहरु । एक्लो नठाना भाइ , तिमी एक्लो छैनौ । ’","ङै होट डेच बेलाङ मञ्जुल दाजीय लाफा राजनलाक ल्हेस्म डेयाको , नो मीघिय हीके ङाल्लाके ङाल्ला महशुस जाट्च ले ।"
म कानको दुखाइ र उठबस गरेर कामेको पिँडुला माड्दै एक कुनामा टाँसिएर बसेँ । ,ङा मेनकेपो बीक्चे अनी सोचङुच जाट्म होयोच मीघा आर्जुम काट कुनाङ लाहाम ङुआ ।
जनताको अधिकार पनाएको देखेर शसस्त्र विद्रोहमा हिँडेका राजनीतिक दलले गाउँमा चहलपहल शुरु गर्यो । ,जनताओ अधिकार पनडीस्च डाङार शसस्त्र विद्रोहाङ व्हाच राजनीतिक दलय लाङ्घाङ चहलपहल सुरु जाटा ।
सुतीको नरम कपडामा रोटी पोको पारेर राख्थी  । ,मीछाटीओ माम कपडाआङ रोटी पोो पार्डीम डा ।
‘कसैलाई एकजना पनि नपाउने कसैलाई दुई दुई के भयो हो । ’ आँगनमा जम्मा भैबसेकाहरु जिस्किरहेका थिए । ,सुकेर काटजना ड माडीन्के सुके न्हीस न्हीस ही छान्ह्च आले ।
कसैको भिन्न छैन । ,सुयोर भाहाच माले ।
"उतिबेला मलाई लाग्यो , ‘म एक्लै रहेनछ , मेरो पनि कोहि रहेछ । ’","होडीकबेला ङाके ङै लैडीसा , होटार ङाल्लान मालेउसा , ङौ ड सु लेसा ।"
गाउँ जस्तै लाग्दैनथ्यो । ,लाङ्घा लख मालैडीसोला ।
अहिले न यहाँ कुर्सी छ न टेबुल त । ,इनाङ न इलाङ कुर्सी ले न टेबुल च ।
म अस्ति घर गइनँ । ,ङा खयाक्नीङ इमाङ मानुहुँआङ् ।
तिमी भोलि घर जाऊ । ,नाङ पीहीन इमाङ नुङ्न ।
एम्बुलेन्सको पछि पछि कुद्दै कुद्दै आएको थियो । ,एम्बुलेन्सो न्हुन न्हुन खेर्मन खेर्मन राहाच लेया ।
बन्दीपुर खोँचको तामाङ भएपनि कसैस“ग कुरा गर्नु पर्दा आ“खामाथि आ“खा जुधाएर कुरा गर्ने उनको प्रवृत्तिले जोकोहीलाई धेरै बेरसम्म उनको अगाडि टिकिरहन दिदैनथ्यो । ,nan
पासाङ लड्यो । ,पासाङ खोरोआ ।
बाहिर दशैं किरा कराइरहेको छ । ,बहीरीङ दशैं डू च्याक्मन ले ।
त्यहीँ साहिलो र म्हारसाङ पनि भेट भयो । ,होसे साँहिला र म्हारसाङ ड डुपा ।
कोठामा दशजना भन्दा बढि मान्छे भेला भएको थियो । ,कोठाङ चूजना डेनाङ ढेर भर्मी भेला छान्ह्म लेया ।
‘बुहारी सुत्केरी हुँदा समेत आएन त्यो ? ’ सासुले भन्नु भयो । ,बुहारी सुट्केरी छान्हाङ समेट माराह होस ? होस ?ार सासुय डेयाको ।
समुद्रको तस्बिरलाई प्रोफाइल बनाएको रहेछ  । ,समुद्रओ टस्बिरके प्रकोफाइ खास्च लेसा ।
मेरा दुइ बहिनीहरू छन् । ,ङौ न्हीस नानीको ले ।
मलाई कस्तो कस्तो लाग्यो ।,ङाके कुङ्च कुङ्च लेडीसा ।
जति उफ्रे पनि कसैले कुरा नफर्काए पछि उ त्यतिकै फनक्क फर्केर गयो । ,जटी फोर्जोहोनाङ ड सुयर कुरा माल्हेट प्याक होसे होटन फनक्क लेस्म नुहुँआ ।
टुल्किको लोग्ने म्यानपावलको मालिक । ,टुल्किओ लेन्जा म्यानपावलओ मालीक ।
तिनीहरू जापानी हुन् । ,होसको जापानीको आले ।
‘उसको घरको मान्छेलो नलाने भनेपछि के गरौं बज्यै ? ’ त्यस ठिटोले भन्यो । ,होच्यो इमौ भर्मी माआल्के डेप्याक ही जाटी बज्या बज्या ? होस ठिटाय डेया ।
उठौं अब त उठौं न ,सोइङ अब च सोइङ न
बाल्नलाई दाउरा ल्याऊ । ,जोमोक्के सीङ राको ।
उसले त्यसो भन्ने बेलामा मैले प्लिक्सिलाई एक पटक झल्याँस्स सम्झेँ । ,होच्य होट डेच बेलाङ ङै प्लिक्सिके काट पटक झल्याँस्स आर्मीटाङ ।
